"year","countryCode","species","n_observations","country_name"
1968,"NO","Calidris alba",12,"Norway"
1968,"NO","Calidris ferruginea",4,"Norway"
1968,"NO","Calidris maritima",21,"Norway"
1968,"NO","Calidris minuta",14,"Norway"
1968,"NO","Calidris temminckii",22,"Norway"
1968,"SE","Calidris alba",38,"Sweden"
1968,"SE","Calidris alpina",11,"Sweden"
1968,"SE","Calidris ferruginea",38,"Sweden"
1968,"SE","Calidris maritima",11,"Sweden"
1968,"SE","Calidris minuta",88,"Sweden"
1968,"SE","Calidris temminckii",155,"Sweden"
1969,"FI","Calidris alba",2,"Finland"
1969,"FI","Calidris alpina",76,"Finland"
1969,"FI","Calidris ferruginea",13,"Finland"
1969,"FI","Calidris minuta",18,"Finland"
1969,"FI","Calidris temminckii",131,"Finland"
1969,"NO","Calidris alba",44,"Norway"
1969,"NO","Calidris alpina",2,"Norway"
1969,"NO","Calidris ferruginea",68,"Norway"
1969,"NO","Calidris maritima",48,"Norway"
1969,"NO","Calidris minuta",82,"Norway"
1969,"NO","Calidris temminckii",56,"Norway"
1969,"SE","Calidris alba",52,"Sweden"
1969,"SE","Calidris alpina",9,"Sweden"
1969,"SE","Calidris ferruginea",145,"Sweden"
1969,"SE","Calidris maritima",44,"Sweden"
1969,"SE","Calidris minuta",191,"Sweden"
1969,"SE","Calidris temminckii",171,"Sweden"
1970,"FI","Calidris alba",7,"Finland"
1970,"FI","Calidris alpina",28,"Finland"
1970,"FI","Calidris ferruginea",12,"Finland"
1970,"FI","Calidris maritima",3,"Finland"
1970,"FI","Calidris minuta",264,"Finland"
1970,"FI","Calidris temminckii",92,"Finland"
1970,"NO","Calidris alba",50,"Norway"
1970,"NO","Calidris alpina",2,"Norway"
1970,"NO","Calidris ferruginea",85,"Norway"
1970,"NO","Calidris maritima",69,"Norway"
1970,"NO","Calidris minuta",159,"Norway"
1970,"NO","Calidris temminckii",74,"Norway"
1970,"SE","Calidris alba",83,"Sweden"
1970,"SE","Calidris alpina",26,"Sweden"
1970,"SE","Calidris ferruginea",182,"Sweden"
1970,"SE","Calidris maritima",66,"Sweden"
1970,"SE","Calidris minuta",211,"Sweden"
1970,"SE","Calidris temminckii",209,"Sweden"
1971,"FI","Calidris alba",1,"Finland"
1971,"FI","Calidris alpina",21,"Finland"
1971,"FI","Calidris ferruginea",48,"Finland"
1971,"FI","Calidris minuta",21,"Finland"
1971,"FI","Calidris temminckii",164,"Finland"
1971,"NO","Calidris alba",78,"Norway"
1971,"NO","Calidris alpina",1,"Norway"
1971,"NO","Calidris ferruginea",38,"Norway"
1971,"NO","Calidris maritima",54,"Norway"
1971,"NO","Calidris minuta",54,"Norway"
1971,"NO","Calidris temminckii",72,"Norway"
1971,"SE","Calidris alba",41,"Sweden"
1971,"SE","Calidris alpina",50,"Sweden"
1971,"SE","Calidris ferruginea",320,"Sweden"
1971,"SE","Calidris maritima",82,"Sweden"
1971,"SE","Calidris minuta",115,"Sweden"
1971,"SE","Calidris temminckii",228,"Sweden"
1972,"FI","Calidris alba",5,"Finland"
1972,"FI","Calidris alpina",1,"Finland"
1972,"FI","Calidris ferruginea",27,"Finland"
1972,"FI","Calidris maritima",13,"Finland"
1972,"FI","Calidris minuta",98,"Finland"
1972,"FI","Calidris temminckii",101,"Finland"
1972,"NO","Calidris alba",40,"Norway"
1972,"NO","Calidris alpina",1,"Norway"
1972,"NO","Calidris ferruginea",61,"Norway"
1972,"NO","Calidris maritima",100,"Norway"
1972,"NO","Calidris minuta",178,"Norway"
1972,"NO","Calidris temminckii",109,"Norway"
1972,"SE","Calidris alba",59,"Sweden"
1972,"SE","Calidris alpina",13,"Sweden"
1972,"SE","Calidris ferruginea",158,"Sweden"
1972,"SE","Calidris maritima",108,"Sweden"
1972,"SE","Calidris minuta",725,"Sweden"
1972,"SE","Calidris temminckii",242,"Sweden"
1973,"FI","Calidris alba",5,"Finland"
1973,"FI","Calidris alpina",17,"Finland"
1973,"FI","Calidris ferruginea",33,"Finland"
1973,"FI","Calidris maritima",8,"Finland"
1973,"FI","Calidris minuta",320,"Finland"
1973,"FI","Calidris temminckii",148,"Finland"
1973,"NO","Calidris alba",55,"Norway"
1973,"NO","Calidris alpina",2,"Norway"
1973,"NO","Calidris ferruginea",36,"Norway"
1973,"NO","Calidris maritima",91,"Norway"
1973,"NO","Calidris minuta",161,"Norway"
1973,"NO","Calidris temminckii",65,"Norway"
1973,"SE","Calidris alba",146,"Sweden"
1973,"SE","Calidris alpina",9,"Sweden"
1973,"SE","Calidris ferruginea",190,"Sweden"
1973,"SE","Calidris maritima",127,"Sweden"
1973,"SE","Calidris minuta",312,"Sweden"
1973,"SE","Calidris temminckii",397,"Sweden"
1974,"FI","Calidris alpina",1,"Finland"
1974,"FI","Calidris ferruginea",14,"Finland"
1974,"FI","Calidris minuta",134,"Finland"
1974,"FI","Calidris temminckii",89,"Finland"
1974,"NO","Calidris alba",89,"Norway"
1974,"NO","Calidris alpina",2,"Norway"
1974,"NO","Calidris ferruginea",55,"Norway"
1974,"NO","Calidris maritima",85,"Norway"
